"short_name","scientific_name","category"
"Buff-banded Rail","Gallirallus philippensis","Bird"
"Singing Honeyeater","Gavicalis virescens","Bird"
"Australian Tern","Gelochelidon macrotarsa","Bird"
"Diamond Dove","Geopelia cuneata","Bird"
"Bar-shouldered Dove","Geopelia humeralis","Bird"
"Peaceful Dove","Geopelia placida","Bird"
"Western Gerygone","Gerygone fusca","Bird"
"Brown Gerygone","Gerygone mouki","Bird"
"White-throated Gerygone","Gerygone olivacea","Bird"
"Australian Pratincole","Glareola isabella","Bird"
"Musk Lorikeet","Glossopsitta concinna","Bird"
"Magpie-lark","Grallina cyanoleuca","Bird"
"Painted Honeyeater","Grantiella picta","Bird"
"Indian House Cricket","Gryllodes sigillatus","Orthopteran"
"Southern Mole Cricket","Gryllotalpa australis","Orthopteran"
"Dark Night Mole Cricket","Gryllotalpa monanka","Orthopteran"
"Chirping Mole Cricket","Gryllotalpa pluvialis","Orthopteran"
"Australian Magpie","Gymnorhina tibicen","Bird"
"Red Squeaker","Haemopsalta rubea","Cicada"
"Whistling Kite","Haliastur sphenurus","Bird"
"Razor Grinder","Henicopsaltria eydouxii","Cicada"
"Pallid Cuckoo","Heteroscenes pallidus","Bird"
"Little Eagle","Hieraaetus morphnoides","Bird"
"Pied Stilt","Himantopus leucocephalus","Bird"
"White-throated Needletail","Hirundapus caudacutus","Bird"
"Welcome Swallow","Hirundo neoxena","Bird"
"Engines","Homo sapiens","Other"
"Guns and Fireworks","Homo sapiens","Other"
"Human Voice","Homo sapiens","Other"
"Music","Homo sapiens","Other"
"Power Tools and Machinery","Homo sapiens","Other"
"Siren","Homo sapiens","Other"
"Wind Turbine","Homo sapiens","Other"
"Caspian Tern","Hydroprogne caspia","Bird"
"Chestnut-rumped Heathwren","Hylacola pyrrhopygia","Bird"
"White-bellied Sea Eagle","Icthyophaga leucogaster","Bird"
"White-winged Triller","Lalage tricolor","Bird"
"Swift Parrot","Lathamus discolor","Bird"
"Mottled Field Crickets","Lepidogryllus spp.","Orthopteran"
"Wonga Pigeon","Leucosarcia melanoleuca","Bird"
"Lewin's Rail","Lewinia pectoralis","Bird"
"Yellow-tufted Honeyeater","Lichenostomus melanops","Bird"
"Brown Honeyeater","Lichmera indistincta","Bird"
"Eastern Banjo Frog","Limnodynastes dumerilii","Frog"
"Barking Frog","Limnodynastes fletcheri","Frog"
"Scarlet-sided Banjo Frog","Limnodynastes grayi","Frog"
"Giant Banjo Frog","Limnodynastes interioris","Frog"
"Striped Marsh Frog","Limnodynastes peronii","Frog"
"Salmon-striped Frog","Limnodynastes salmini","Frog"
"Spotted Marsh Frog","Limnodynastes tasmaniensis","Frog"
"Wallum Rocket Frog","Litoria freycineti","Frog"
"Broad-palmed Rocket Frog","Litoria latopalmata","Frog"
"Square-tailed Kite","Lophoictinia isura","Bird"
"Brown Cuckoo-Dove","Macropygia phasianella","Bird"
"Pink-eared Duck","Malacorhynchus membranaceus","Bird"
"Purple-backed Fairywren","Malurus assimilis","Bird"
"Superb Fairywren","Malurus cyaneus","Bird"
"Variegated Fairywren","Malurus lamberti","Bird"
"White-winged Fairywren","Malurus leucopterus","Bird"
"Spendid Fairywren","Malurus splendens","Bird"
"Yellow-throated Miner","Manorina flavigula","Bird"
"Noisy Miner","Manorina melanocephala","Bird"
"Bell Miner","Manorina melanophrys","Bird"
"Wompoo Fruit-Dove","Megaloprepia magnifica","Bird"
"Tawny Grassbird","Megalurus timoriensis","Bird"
"Hooded Robin","Melanodryas cucullata","Bird"
"Lewin's Honeyeater","Meliphaga lewinii","Bird"
"Brown-headed Honeyeater","Melithreptus brevirostris","Bird"
"Black-chinned Honeyeater","Melithreptus gularis","Bird"
"White-naped Honeyeater","Melithreptus lunatus","Bird"
"Budgerigar","Melopsittacus undulatus","Bird"
"Albert's Lyrebird","Menura alberti","Bird"
"Superb Lyrebird","Menura novaehollandiae","Bird"
"Rainbow Bee-eater","Merops ornatus","Bird"
"Little Pied Cormorant","Microcarbo melanoleucos","Bird"
"Jacky Winter","Microeca fascinans","Bird"
"Black Kite","Milvus migrans","Bird"
"Singing Bushlark","Mirafra javanica","Bird"
"Black-faced Monarch","Monarcha melanopsis","Bird"
"Satin Flycatcher","Myiagra cyanoleuca","Bird"
"Restless Flycatcher","Myiagra inquieta","Bird"
