custom_class,ebird_code,global_label,status
Strepera versicolor_Grey Currawong,grycur1,Strepera versicolor_Gray Currawong,renamed_since_global
Struthidea cinerea_Apostlebird,apostl1,Struthidea cinerea_Apostlebird,same_label
Sturnus vulgaris_Common Starling,eursta,Sturnus vulgaris_European Starling,renamed_since_global
Sugomel nigrum_Black Honeyeater,blahon1,Sugomel nigrum_Black Honeyeater,same_label
Synoicus chinensis_King Quail,blbqua1,Synoicus chinensis_Blue-breasted Quail,renamed_since_global
Synoicus ypsilophorus_Brown Quail,broqua1,Synoicus ypsilophorus_Brown Quail,same_label
Tachybaptus novaehollandiae_Australasian Grebe,ausgre1,Tachybaptus novaehollandiae_Australasian Grebe,same_label
Tachyspiza cirrocephala_Collared Sparrowhawk,colspa1,Accipiter cirrocephalus_Collared Sparrowhawk,renamed_since_global
Tachyspiza fasciata_Brown Goshawk,brogos1,Accipiter fasciatus_Brown Goshawk,renamed_since_global
Tachyspiza novaehollandiae_Grey Goshawk,grygos1,Accipiter novaehollandiae_Gray Goshawk,renamed_since_global
Tadorna tadornoides_Australian Shelduck,ausshe1,Tadorna tadornoides_Australian Shelduck,same_label
Taeniopygia guttata_Zebra Finch,zebfin2,Taeniopygia guttata_Zebra Finch,same_label
Thinornis melanops_Black-fronted Dotterel,blfdot1,Elseyornis melanops_Black-fronted Dotterel,renamed_since_global
Threskiornis molucca_Australian White Ibis,ausibi1,Threskiornis molucca_Australian Ibis,renamed_since_global
Threskiornis spinicollis_Straw-necked Ibis,stnibi1,,not_in_global_model
Todiramphus pyrrhopygius_Red-backed Kingfisher,rebkin2,,not_in_global_model
Todiramphus sanctus_Sacred Kingfisher,sackin1,Todiramphus sanctus_Sacred Kingfisher,same_label
Tribonyx ventralis_Black-tailed Nativehen,btnhen1,Tribonyx ventralis_Black-tailed Nativehen,same_label
Trichoglossus chlorolepidotus_Scaly-breasted Lorikeet,scblor1,Trichoglossus chlorolepidotus_Scaly-breasted Lorikeet,same_label
Trichoglossus concinnus_Musk Lorikeet,muslor1,Glossopsitta concinna_Musk Lorikeet,renamed_since_global
Trichoglossus moluccanus_Rainbow Lorikeet,railor5,Trichoglossus moluccanus_Rainbow Lorikeet,same_label
Tringa nebularia_Common Greenshank,comgre,Tringa nebularia_Common Greenshank,same_label
Turdus merula_Common Blackbird,eurbla,Turdus merula_Eurasian Blackbird,renamed_since_global
Turnix maculosus_Red-backed Buttonquail,rebbut2,Turnix maculosus_Red-backed Buttonquail,same_label
Turnix varius_Painted Buttonquail,paibut,Turnix varius_Painted Buttonquail,same_label
Turnix velox_Little Buttonquail,litbut1,,not_in_global_model
Tyto javanica_Eastern Barn Owl,eabowl1,,not_in_global_model
Tyto longimembris_Australasian Grass-Owl,ausgro1,,not_in_global_model
Tyto novaehollandiae_Australian Masked-Owl,aumowl1,Tyto novaehollandiae_Australian Masked-Owl,same_label
Tyto tenebricosa_Sooty Owl,sooowl1,Tyto tenebricosa_Sooty Owl,same_label
Vanellus miles_Masked Lapwing,maslap1,Vanellus miles_Masked Lapwing,same_label
Vanellus tricolor_Banded Lapwing,banlap1,Vanellus tricolor_Banded Lapwing,same_label
Zanda funerea_Yellow-tailed Black-Cockatoo,ytbcoc1,Calyptorhynchus funereus_Yellow-tailed Black-Cockatoo,renamed_since_global
Zapornia pusilla_Baillon's Crake,baicra1,Zapornia pusilla_Baillon's Crake,same_label
Zapornia tabuensis_Spotless Crake,spocra2,Zapornia tabuensis_Spotless Crake,same_label
Zoothera lunulata_Bassian Thrush,oltthr1,Zoothera lunulata_Bassian Thrush,same_label
Zosterops lateralis_Silvereye,silver3,Zosterops lateralis_Silvereye,same_label
