label,old_sciname,old_comname,new_sciname,new_comname,old_code,new_code,reason
"Melaenornis silens_Fiscal Flycatcher","Melaenornis silens","Fiscal Flycatcher","Sigelus silens","Fiscal Flycatcher","fisfly1","fisfly1","name changed upstream"
"Melozone leucotis_White-eared Ground-Sparrow","Melozone leucotis","White-eared Ground-Sparrow","Melozone leucotis","White-eared Ground-Sparrow","wegspa1","whegrs2","code changed"
"Merops orientalis_Green Bee-eater","Merops orientalis","Green Bee-eater","Merops orientalis","Asian Green Bee-eater","grbeat1","grnbee3","code changed"
"Merops superciliosus_Madagascar Bee-eater","Merops superciliosus","Madagascar Bee-eater","Merops superciliosus","Olive Bee-eater","mabeat1","mabeat1","name changed upstream"
"Microeca flavigaster_Lemon-bellied Flycatcher","Microeca flavigaster","Lemon-bellied Flycatcher","Microeca flavigaster","Lemon-bellied Flyrobin","lebfly3","lebfly3","name changed upstream"
"Micropygia schomburgkii_Ocellated Crake","Micropygia schomburgkii","Ocellated Crake","Rufirallus schomburgkii","Ocellated Crake","ocecra1","ocecra1","name changed upstream"
"Milvago chimachima_Yellow-headed Caracara","Milvago chimachima","Yellow-headed Caracara","Daptrius chimachima","Yellow-headed Caracara","yehcar1","yehcar1","name changed upstream"
"Milvago chimango_Chimango Caracara","Milvago chimango","Chimango Caracara","Daptrius chimango","Chimango Caracara","chicar1","chicar1","name changed upstream"
"Mionectes olivaceus_Olive-striped Flycatcher","Mionectes olivaceus","Olive-striped Flycatcher","Mionectes galbinus","Olive-striped Flycatcher","olsfly1","olsfly1","name changed upstream"
"Mirafra affinis_Jerdon's Bushlark","Mirafra affinis","Jerdon's Bushlark","Plocealauda affinis","Jerdon's Bushlark","jerbus2","jerbus2","name changed upstream"
"Mirafra africana_Rufous-naped Lark","Mirafra africana","Rufous-naped Lark","Corypha africana","Rufous-naped Lark","runlar1","runlar1","name changed upstream"
"Mirafra apiata_Cape Clapper Lark","Mirafra apiata","Cape Clapper Lark","Corypha apiata","Cape Clapper Lark","caclar1","caclar1","name changed upstream"
"Mirafra assamica_Bengal Bushlark","Mirafra assamica","Bengal Bushlark","Plocealauda assamica","Bengal Bushlark","benbus1","benbus1","name changed upstream"
"Mirafra cantillans_Singing Bushlark","Mirafra cantillans","Singing Bushlark","Mirafra javanica [cantillans Group]","Singing Bushlark (Singing)","sinbus1","sinbus1","name changed upstream"
"Mirafra cheniana_Latakoo Lark","Mirafra cheniana","Latakoo Lark","Mirafra cheniana","Melodious Lark","latlar1","latlar1","name changed upstream"
"Mirafra erythrocephala_Indochinese Bushlark","Mirafra erythrocephala","Indochinese Bushlark","Plocealauda erythrocephala","Indochinese Bushlark","indbus3","indbus3","name changed upstream"
"Mirafra erythroptera_Indian Bushlark","Mirafra erythroptera","Indian Bushlark","Plocealauda erythroptera","Indian Bushlark","indbus2","indbus2","name changed upstream"
"Mirafra fasciolata_Eastern Clapper Lark","Mirafra fasciolata","Eastern Clapper Lark","Corypha fasciolata","Eastern Clapper Lark","eaclar1","eaclar1","name changed upstream"
"Mirafra javanica_Australasian Bushlark","Mirafra javanica","Australasian Bushlark","Mirafra javanica [javanica Group]","Singing Bushlark (Australasian)","ausbus2","ausbus2","name changed upstream"
"Mirafra rufocinnamomea_Flappet Lark","Mirafra rufocinnamomea","Flappet Lark","Amirafra rufocinnamomea","Flappet Lark","flalar1","flalar1","name changed upstream"
"Montifringilla blanfordi_Blanford's Snowfinch","Montifringilla blanfordi","Blanford's Snowfinch","Pyrgilauda blanfordi","Blanford's Snowfinch","blasno1","blasno1","name changed upstream"
"Montifringilla taczanowskii_White-rumped Snowfinch","Montifringilla taczanowskii","White-rumped Snowfinch","Onychostruthus taczanowskii","White-rumped Snowfinch","whrsno1","whrsno1","name changed upstream"
"Musophaga rossae_Ross's Turaco","Musophaga rossae","Ross's Turaco","Tauraco rossae","Ross's Turaco","rostur1","rostur1","name changed upstream"
"Myiarchus nuttingi_Nutting's Flycatcher","Myiarchus nuttingi","Nutting's Flycatcher","Myiarchus nuttingi/flavidior","Nutting's/Salvadoran Flycatcher","nutfly","nutfly","name changed upstream"
"Myiopagis caniceps_Gray Elaenia","Myiopagis caniceps","Gray Elaenia","Myiopagis caniceps","Gray-headed Elaenia","graela2","gryela3","code changed"
"Myiothlypis chrysogaster_Golden-bellied Warbler","Myiothlypis chrysogaster","Golden-bellied Warbler","Myiothlypis chrysogaster","Cuzco Warbler","gobwar2","gobwar3","code changed"
"Myrmecocichla monticola_Mountain Wheatear","Myrmecocichla monticola","Mountain Wheatear","Myrmecocichla monticola","Mountain Chat","mouwhe1","mouwhe1","name changed upstream"
"Neocossyphus finschi_Finsch's Flycatcher-Thrush","Neocossyphus finschi","Finsch's Flycatcher-Thrush","Stizorhina finschi","Finsch's Flycatcher-Thrush","fifthr1","fifthr1","name changed upstream"
"Neocossyphus fraseri_Rufous Flycatcher-Thrush","Neocossyphus fraseri","Rufous Flycatcher-Thrush","Stizorhina fraseri","Rufous Flycatcher-Thrush","rufthr1","rufthr1","name changed upstream"
"Neopelma chrysolophum_Serra do Mar Tyrant-Manakin","Neopelma chrysolophum","Serra do Mar Tyrant-Manakin","Protopelma chrysolophum","Serra do Mar Tyrant-Manakin","sdmman1","sdmman1","name changed upstream"
"Niltava vivida_Vivid Niltava","Niltava vivida","Vivid Niltava","Niltava vivida","Taiwan Vivid Niltava","vivnil1","vivnil3","code changed"
"Ninox boobook_Southern Boobook","Ninox boobook","Southern Boobook","Ninox boobook","Australian Boobook","souboo8","souboo8","name changed upstream"
"Nucifraga caryocatactes_Eurasian Nutcracker","Nucifraga caryocatactes","Eurasian Nutcracker","Nucifraga caryocatactes/hemispila","Northern/Southern Nutcracker","eurnut1","eurnut1","name changed upstream"
"Numenius phaeopus_Whimbrel","Numenius phaeopus","Whimbrel","Numenius hudsonicus/phaeopus","Hudsonian/Eurasian Whimbrel","whimbr","whimbr","name changed upstream"
"Nyctanassa violacea_Yellow-crowned Night-Heron","Nyctanassa violacea","Yellow-crowned Night-Heron","Nyctanassa violacea","Yellow-crowned Night Heron","ycnher","ycnher","name changed upstream"
"Nyctibius bracteatus_Rufous Potoo","Nyctibius bracteatus","Rufous Potoo","Phyllaemulor bracteatus","Rufous Potoo","rufpot1","rufpot1","name changed upstream"
"Nycticorax nycticorax_Black-crowned Night-Heron","Nycticorax nycticorax","Black-crowned Night-Heron","Nycticorax nycticorax","Black-crowned Night Heron","bcnher","bcnher","name changed upstream"
"Ochthoeca cinnamomeiventris_Slaty-backed Chat-Tyrant","Ochthoeca cinnamomeiventris","Slaty-backed Chat-Tyrant","Ochthoeca cinnamomeiventris","Chestnut-bellied Chat-Tyrant","sbctyr1","slbcht2","code changed"
"Ochthoeca diadema_Yellow-bellied Chat-Tyrant","Ochthoeca diadema","Yellow-bellied Chat-Tyrant","Silvicultrix diadema","Yellow-bellied Chat-Tyrant","yebcht1","yebcht1","name changed upstream"
"Ochthoeca frontalis_Crowned Chat-Tyrant","Ochthoeca frontalis","Crowned Chat-Tyrant","Silvicultrix frontalis","Crowned Chat-Tyrant","crocht1","crocht1","name changed upstream"
